	user_id	gender	age	occupation	zipcode	age_desc	occ_desc
0	1	F	1	10	48067	Under 18	K-12 student
1	2	M	56	16	70072	56+	self-employed
2	3	M	25	15	55117	25-34	scientist
3	4	M	45	7	02460	45-49	executive/managerial
4	5	M	25	20	55455	25-34	writer
5	6	F	50	9	55117	50-55	homemaker
6	7	M	35	1	06810	35-44	academic/educator
7	8	M	25	12	11413	25-34	programmer
8	9	M	25	17	61614	25-34	technician/engineer
9	10	F	35	1	95370	35-44	academic/educator
10	11	F	25	1	04093	25-34	academic/educator
11	12	M	25	12	32793	25-34	programmer
12	13	M	45	1	93304	45-49	academic/educator
13	14	M	35	0	60126	35-44	other or not specified
14	15	M	25	7	22903	25-34	executive/managerial
15	16	F	35	0	20670	35-44	other or not specified
16	17	M	50	1	95350	50-55	academic/educator
17	18	F	18	3	95825	18-24	clerical/admin
18	19	M	1	10	48073	Under 18	K-12 student
19	20	M	25	14	55113	25-34	sales/marketing
20	21	M	18	16	99353	18-24	self-employed
21	22	M	18	15	53706	18-24	scientist
22	23	M	35	0	90049	35-44	other or not specified
23	24	F	25	7	10023	25-34	executive/managerial
24	25	M	18	4	01609	18-24	college/grad student
25	26	M	25	7	23112	25-34	executive/managerial
26	27	M	25	11	19130	25-34	lawyer
27	28	F	25	1	14607	25-34	academic/educator
28	29	M	35	7	33407	35-44	executive/managerial
29	30	F	35	7	19143	35-44	executive/managerial
30	31	M	56	7	06840	56+	executive/managerial
31	32	F	25	0	19355	25-34	other or not specified
32	33	M	45	3	55421	45-49	clerical/admin
33	34	F	18	0	02135	18-24	other or not specified
34	35	M	45	1	02482	45-49	academic/educator
35	36	M	25	3	94123	25-34	clerical/admin
36	37	F	25	9	66212	25-34	homemaker
37	38	F	18	4	02215	18-24	college/grad student
38	39	M	18	4	61820	18-24	college/grad student
39	40	M	45	0	10543	45-49	other or not specified
40	41	F	18	4	15116	18-24	college/grad student
41	42	M	25	8	24502	25-34	farmer
42	43	M	25	12	60614	25-34	programmer
43	44	M	45	17	98052	45-49	technician/engineer
44	45	F	45	16	94110	45-49	self-employed
45	46	M	18	19	75602	18-24	unemployed
46	47	M	18	4	94305	18-24	college/grad student
47	48	M	25	4	92107	25-34	college/grad student
48	49	M	18	12	77084	18-24	programmer
49	50	F	25	2	98133	25-34	artist
50	51	F	1	10	10562	Under 18	K-12 student
51	52	M	18	4	72212	18-24	college/grad student
52	53	M	25	0	96931	25-34	other or not specified
53	54	M	50	1	56723	50-55	academic/educator
54	55	F	35	12	55303	35-44	programmer
55	56	M	35	20	60440	35-44	writer
56	57	M	18	19	30350	18-24	unemployed
57	58	M	25	2	30303	25-34	artist
58	59	F	50	1	55413	50-55	academic/educator
59	60	M	50	1	72118	50-55	academic/educator
60	61	M	25	17	95122	25-34	technician/engineer
61	62	F	35	3	98105	35-44	clerical/admin
62	63	M	18	4	54902	18-24	college/grad student
63	64	M	18	1	53706	18-24	academic/educator
64	65	M	35	12	55803	35-44	programmer
65	66	M	25	18	57706	25-34	tradesman/craftsman
66	67	F	50	5	60181	50-55	customer service
67	68	M	18	4	53706	18-24	college/grad student
68	69	F	25	1	02143	25-34	academic/educator
69	70	M	18	4	53703	18-24	college/grad student
